category,name,goal,environment,positions,levels,volume_hint,coaching_points,progression,regression,contra,rest,note,id,plyo_impact,equipment_detail
Strength Lower,Back Squat,Unterkörperkraft/Hypertrophie/Maxkraft,Gym,ALL,Rookie;Advanced;Pro;Elite,Main: 5×3–5 @RPE8 · Accessory: 3×8–12,neutraler Rücken | voller Fußdruck,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",Schmerz/Instabilität → skalieren/ersetzen,Main 2–3′ / Accessory 60–90,Schwerer Fokus in Off-Strength (Erhalt in Off-Power/Pre/In-Season),back_squat,,
Strength Lower,Front Squat,Unterkörperkraft/Hypertrophie/Maxkraft,Gym,ALL,Rookie;Advanced;Pro;Elite,Main: 5×3–5 @RPE8 · Accessory: 3×8–12,neutraler Rücken | voller Fußdruck,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",Schmerz/Instabilität → skalieren/ersetzen,Main 2–3′ / Accessory 60–90,Schwerer Fokus in Off-Strength (Erhalt in Off-Power/Pre/In-Season),front_squat,,
Strength Lower,Safety Bar Squat,Unterkörperkraft/Hypertrophie/Maxkraft,Gym,ALL,Rookie;Advanced;Pro;Elite,Main: 5×3–5 @RPE8 · Accessory: 3×8–12,neutraler Rücken | voller Fußdruck,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",Schmerz/Instabilität → skalieren/ersetzen,Main 2–3′ / Accessory 60–90,Schwerer Fokus in Off-Strength (Erhalt in Off-Power/Pre/In-Season),safety_bar_squat,,
Strength Lower,Box Squat (kontrolliert),Unterkörperkraft/Hypertrophie/Maxkraft,Gym,ALL,Rookie;Advanced;Pro;Elite,Main: 5×3–5 @RPE8 · Accessory: 3×8–12,neutraler Rücken | voller Fußdruck,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",Schmerz/Instabilität → skalieren/ersetzen,Main 2–3′ / Accessory 60–90,Schwerer Fokus in Off-Strength (Erhalt in Off-Power/Pre/In-Season),box_squat_kontrolliert,,
Strength Lower,Trap Bar Deadlift,Unterkörperkraft/Hypertrophie/Maxkraft,Gym,ALL,Rookie;Advanced;Pro;Elite,Main: 5×3–5 @RPE8 · Accessory: 3×8–12,neutraler Rücken | voller Fußdruck,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",akuter LWS-Schmerz → Variante mit weniger Axiallast,Main 2–3′ / Accessory 60–90,Schwerer Fokus in Off-Strength (Erhalt in Off-Power/Pre/In-Season),trap_bar_deadlift,,
Strength Lower,Conventional Deadlift,Unterkörperkraft/Hypertrophie/Maxkraft,Gym,ALL,Rookie;Advanced;Pro;Elite,Main: 5×3–5 @RPE8 · Accessory: 3×8–12,neutraler Rücken | voller Fußdruck,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",akuter LWS-Schmerz → Variante mit weniger Axiallast,Main 2–3′ / Accessory 60–90,Schwerer Fokus in Off-Strength (Erhalt in Off-Power/Pre/In-Season),conventional_deadlift,,
Strength Lower,Romanian Deadlift,Unterkörperkraft/Hypertrophie/Maxkraft,Gym,ALL,Rookie;Advanced;Pro;Elite,Main: 5×3–5 @RPE8 · Accessory: 3×8–12,neutraler Rücken | voller Fußdruck,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",akuter LWS-Schmerz → Variante mit weniger Axiallast,Main 2–3′ / Accessory 60–90,Schwerer Fokus in Off-Strength (Erhalt in Off-Power/Pre/In-Season),romanian_deadlift,,
Strength Lower,Snatch-Grip RDL,Unterkörperkraft/Hypertrophie/Maxkraft,Gym,ALL,Rookie;Advanced;Pro;Elite,Main: 5×3–5 @RPE8 · Accessory: 3×8–12,neutraler Rücken | voller Fußdruck,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",Schmerz/Instabilität → skalieren/ersetzen,Main 2–3′ / Accessory 60–90,Schwerer Fokus in Off-Strength (Erhalt in Off-Power/Pre/In-Season),snatch_grip_rdl,,
Strength Lower,Deficit RDL,Unterkörperkraft/Hypertrophie/Maxkraft,Gym,ALL,Rookie;Advanced;Pro;Elite,Main: 5×3–5 @RPE8 · Accessory: 3×8–12,neutraler Rücken | voller Fußdruck,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",Schmerz/Instabilität → skalieren/ersetzen,Main 2–3′ / Accessory 60–90,Schwerer Fokus in Off-Strength (Erhalt in Off-Power/Pre/In-Season),deficit_rdl,,
Strength Lower,Hip Thrust (BB),Unterkörperkraft/Hypertrophie/Maxkraft,Gym,ALL,Rookie;Advanced;Pro;Elite,Main: 5×3–5 @RPE8 · Accessory: 3×8–12,neutraler Rücken | voller Fußdruck,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",akuter LWS-Schmerz → Variante mit weniger Axiallast,Main 2–3′ / Accessory 60–90,Schwerer Fokus in Off-Strength (Erhalt in Off-Power/Pre/In-Season),hip_thrust_bb,,
